owner_id,status,agent_id,name,description,price,expired_at,category_id,location_id,created_at,updated_at
15,completed,12,Persistent,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,2457,2019-06-30 00:17:49,6,177,2019-05-30 00:17:49,2019-05-30 00:17:49
17,completed,12,tangible,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",7061,2019-07-03 23:32:13,7,272,2019-06-03 23:32:13,2019-06-03 23:32:13
15,completed,19,orchestration,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",7856,2019-07-04 20:15:12,8,568,2019-06-04 20:15:12,2019-06-04 20:15:12
4,completed,8,Horizontal,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1454,2019-07-06 21:31:00,5,84,2019-06-06 21:31:00,2019-06-06 21:31:00
13,cancelled,16,object-oriented,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",3205,2019-07-08 18:16:28,1,966,2019-06-08 18:16:28,2019-06-08 18:16:28
14,failed,20,grid-enabled,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,7474,2019-07-10 07:47:18,4,85,2019-06-10 07:47:18,2019-06-10 07:47:18
15,completed,10,capacity,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2004,2019-07-12 17:48:08,4,677,2019-06-12 17:48:08,2019-06-12 17:48:08
2,completed,12,Multi-tiered,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",6587,2019-07-18 23:50:16,4,35,2019-06-18 23:50:16,2019-06-18 23:50:16
3,expired,NULL,Total,Sed accumsan felis. Ut at dolor quis odio consequat varius.,7158,2019-07-20 07:09:26,5,326,2019-06-20 07:09:26,2019-06-20 07:09:26
18,failed,13,pricing structure,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",4091,2019-07-21 10:09:11,8,589,2019-06-21 10:09:11,2019-06-21 10:09:11
