task_id,user_id,price,comment,is_rejected,created_at,updated_at
27,13,2747,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",1,2019-09-13 09:26:38,2019-09-13 09:26:38
1,10,5296,Nunc nisl.,0,2019-10-27 02:29:57,2019-10-27 02:29:57
37,11,6906,Integer non velit.,0,2019-10-29 20:31:22,2019-10-29 20:31:22
32,1,1342,Nam nulla.,0,2019-07-27 11:32:14,2019-07-27 11:32:14
41,19,3323,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,1,2019-07-22 10:04:21,2019-07-22 10:04:21
22,7,1433,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1,2019-06-25 11:40:27,2019-06-25 11:40:27
34,5,6878,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",0,2019-06-04 20:37:33,2019-06-04 20:37:33
47,7,7363,Aenean sit amet justo.,1,2019-05-30 23:07:54,2019-05-30 23:07:54
23,20,1098,Fusce consequat.,1,2019-09-14 10:42:30,2019-09-14 10:42:30
9,19,8172,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0,2019-06-29 21:26:31,2019-06-29 21:26:31
35,3,5152,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",0,2019-08-14 17:57:13,2019-08-14 17:57:13
1,15,2264,Pellentesque at nulla.,0,2019-05-28 00:49:09,2019-05-28 00:49:09
34,19,1401,Aliquam sit amet diam in magna bibendum imperdiet.,0,2019-07-16 10:47:37,2019-07-16 10:47:37
49,2,7691,Maecenas tincidunt lacus at velit.,0,2019-10-23 15:31:56,2019-10-23 15:31:56
32,7,4427,Curabitur in libero ut massa volutpat convallis.,1,2019-06-02 12:13:08,2019-06-02 12:13:08
24,9,3287,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,0,2019-09-09 14:22:38,2019-09-09 14:22:38
28,6,8374,Aenean auctor gravida sem.,1,2019-08-04 01:57:27,2019-08-04 01:57:27
15,16,6139,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,2019-08-04 18:10:58,2019-08-04 18:10:58
4,7,7714,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1,2019-08-14 05:15:26,2019-08-14 05:15:26
14,20,1400,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1,2019-09-24 01:23:52,2019-09-24 01:23:52
33,2,8212,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,2019-10-11 15:46:43,2019-10-11 15:46:43
36,15,4556,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1,2019-09-24 07:50:32,2019-09-24 07:50:32
21,12,5600,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,0,2019-08-14 17:25:21,2019-08-14 17:25:21
25,17,1410,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,2019-07-15 15:27:47,2019-07-15 15:27:47
14,4,1056,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",0,2019-10-07 10:08:37,2019-10-07 10:08:37
14,13,4517,In blandit ultrices enim.,0,2019-08-19 00:37:01,2019-08-19 00:37:01
5,13,7788,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,1,2019-09-01 21:10:59,2019-09-01 21:10:59
8,2,2840,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,2019-06-29 23:58:55,2019-06-29 23:58:55
36,20,803,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,2019-09-30 09:40:56,2019-09-30 09:40:56
20,19,7474,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1,2019-10-30 21:42:06,2019-10-30 21:42:06
16,2,1577,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,2019-06-05 10:05:45,2019-06-05 10:05:45
7,9,4633,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0,2019-09-09 06:36:50,2019-09-09 06:36:50
3,4,7574,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,2019-09-08 20:50:35,2019-09-08 20:50:35
41,9,5347,Aenean lectus.,1,2019-09-18 02:20:32,2019-09-18 02:20:32
6,13,888,Phasellus in felis. Donec semper sapien a libero.,1,2019-08-07 21:06:18,2019-08-07 21:06:18
16,18,8922,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0,2019-09-18 01:49:59,2019-09-18 01:49:59
15,14,8358,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,0,2019-08-28 21:00:47,2019-08-28 21:00:47
39,15,5951,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1,2019-06-17 19:24:04,2019-06-17 19:24:04
45,12,1086,Nam tristique tortor eu pede.,1,2019-08-25 02:23:32,2019-08-25 02:23:32
20,4,7206,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,0,2019-08-26 03:44:40,2019-08-26 03:44:40
25,20,7898,Vivamus in felis eu sapien cursus vestibulum.,0,2019-08-24 08:14:05,2019-08-24 08:14:05
